step,direction,tick,pool_price_usdc_per_weth,market_price_usdc_per_weth,n_arb_trades,lp_weth,lp_usdc,lp_value_usdc,hodl_value_usdc,lp_vs_hodl,fees_value_usdc,il_value_usdc,amount_in_wei,tx_hash
0,sell_weth,-196111,3536.5045606274903,3207.8600804163634,3,20000000000000038265,100000000000,164157.2016083274,164157.20160832728,1.2274876597713214e-10,0.378824031,-0.37882403087725125,511244243479327984,0be0b45f17a52f2b5d03b764120e8c62db6dc6e21d497cb473e8c5b251bee089
1,buy_weth,-194111,3199.977654292272,3191.58580031656,3,19999999999999369616,100000000014,163831.7160203292,163831.7160063312,1.3997988075376853e-05,114.22017659286652,-114.22016259487845,1639999999,fa7d5d2d9eb2e8feec5956c734788d7b521562c4ae2c8fdcef2c3def25fc230f
2,buy_weth,-195111,3199.977654292272,3282.5892403847133,1,19999999999999950131,100000000018,165651.7848256941,165651.78480769426,1.799983630055717e-05,119.14017658986651,-119.14015859003021,1639999999,09bfa0a8ec09d246a15c2c21f54051e045d7a033652f7a20bc36b34421766a4d
3,buy_weth,-195111,3199.977654292272,3287.8567132833446,1,19999999999999950290,100000000022,165757.13428766673,165757.1342656669,2.1999836560642784e-05,124.06017658686652,-124.06015458702996,1639999999,aba40ced5dfa39f6ad2aebd7edf01a8fc4dc955fcd67ff95fadb548c771285ae
4,buy_weth,-195111,3199.977654292272,3255.9291700264125,1,19999999999999950449,100000000026,165118.5834265281,165118.58340052827,2.5999838665453697e-05,128.98017658386652,-128.98015058402785,1639999999,fcc1591b6e818c794c19f4099a2aabb38ea842933eca122e2970e0ead6588028
5,sell_weth,-196111,3536.5045606274903,3267.997831148628,3,20000000000000040765,100000000026,165359.9566489727,165359.95662297256,2.6000133219931585e-05,132.24917996286652,-132.2491539627333,501836318362419748,552024d52c5f5b90c24d483223963f563a3b727f4fc594c77e684b0abb51bd88
6,buy_weth,-194111,3199.977654292272,3230.061131434003,3,19999999999999372116,100000000040,164601.22266867803,164601.22262868006,3.999797189629655e-05,234.61094400667767,-234.61090400870577,1639999999,6cfd7a69bdf487597085b6757f1485428c3c5239f0402d0a7e257dafbfb58ed7
7,sell_weth,-196111,3536.5045606274903,3247.1722158848697,3,20000000000000042788,100000000040,164943.44435769753,164943.4443176974,4.0000138940004775e-05,236.8790824956777,-236.87904249553873,505054826466323503,dd592c28713f5759b84f61d8f40365658f4b512572d6deeece90ecf916699f79
8,sell_weth,-195111,3199.977654292272,3236.6519220726836,1,19999999999999953430,100000000050,164733.0384914535,164733.03844145368,4.999984926911999e-05,241.79908249567768,-241.7990324958284,506696438012333025,0ab6404518f228f808f8a98e1fa3e41b1cdfc3a47d54f058f75dc65cd84297c9
9,sell_weth,-196111,3199.977654292272,3201.226332906833,1,20000000000000043746,100000000050,164024.5267081368,164024.52665813666,5.000014004084716e-05,241.79908249567768,-241.79903249553763,512303670359608393,a56358c88ece56438b17e7ab3903c211064989ddf4b8ee88f097eed466fbcaad
